code,actual_controller,ownership_type
000955,饶勇,private
000957,山东省人民政府国有资产监督管理委员会,state
000958,石家庄市国有资产监督管理委员会,state
000959,北京市国有资产监督管理委员会,state
000960,云南省国有资产监督管理委员会,state
000962,中国有色矿业集团有限公司,state
000963,胡凯军,private
000965,天津港保税区国有资产管理局,state
000966,国务院国有资产监督管理委员会,state
000967,何剑锋,private
000968,国务院国有资产监督管理委员会,state
000969,国务院国有资产监督管理委员会,state
000970,中国科学院,private
000972,新疆生产建设兵团国有资产监督管理委员会,state
000973,广东省人民政府,state
000975,沈国军,private
000977,山东省国资委,state
000978,桂林市人民政府,state
000980,"应建仁,徐美儿",private
000981,甘肃省人民政府国有资产监督管理委员会,state
000983,山西省国有资产监督管理委员会,state
000985,中国石油天然气集团公司,private
000987,广州市人民政府国有资产监督管理委员会,state
000988,教育部,private
000989,陈金霞,private
000990,中华人民共和国财政部,private
000993,宁德市国有资产监督管理委员会,state
000995,张力鑫,private
000997,胡钢,private
000998,伍跃时,private
000999,国务院国有资产监督管理委员会,state
001201,袁建康,private
001202,雷琦,private
001203,"林来嵘,安素梅",private
001205,李桃元,private
001206,"高福忠,高健",private
001207,"吴晓林,吴晓强",private
001208,湖南省人民政府国有资产监督管理委员会,state
001209,"郭梧文,郭秋洪,周德茂,柯国民,郭静璇,郭璇风,郭静君,郭少君",private
001210,杨建勋,private
001211,"郑承烈,叶丽榕",private
001212,周军,private
001213,中国国家铁路集团有限公司,private
001215,李伟,private
001216,"许君奇,傅军",private
001217,吴李杰,private
001218,"贾齐正,孙建雄,侯炳阳,刘国彪,叶继勇,郑钢",private
001219,青岛市人民政府国有资产监督管理委员会,state
001220,张经纬,private
001221,"欧锦锋,欧锦丽",private
001222,"庄明允,朱晓荣,庄明超",private
001223,"胡坚晟,胡甫晟,李燕梅",private
001225,徐青,private
001226,徐杨顺,private
001227,,no_controller
001228,"陈永夫,金萍",private
001229,方华,private
001230,"于晓霞,于晓娟,于洪波",private
001231,郑敬敏,private
001232,"袁江涛,丁会,丁会响",private
001233,朱晖,private
001234,"杨敏,陆彪",private
001236,江苏省人民政府国有资产监督管理委员会,state
001237,陈越鹏,private
001238,陈永辉,private
001239,沈培良,private
001248,国务院国有资产监督管理委员会,state
001255,"凌莉,陆云峰",private
001256,"周炳松,李玉荷",private
001257,洛阳市人民政府国有资产监督管理委员会,state
001258,新疆维吾尔自治区人民政府国有资产监督管理委员会,state
001259,"宋老亮,齐连英",private
001260,张明,private
001266,"张化宏,曾红英,曾晖",private
001267,刘毅,private
001268,"何俊桦,何桂景,何泳欣,何明珊",private
001269,,no_controller
001270,刘建伟,private
001277,"李锡元,贾建国,李优生",private
001278,王建华,private
001279,"郭良春,王玉兰,郭俊成,郭俊毅",private
001280,国务院国有资产监督管理委员会,state
001282,"孙国奉,张一衡,孙国敏,孙仁豪",private
001283,潘党育,private
001285,"张晓平,池淑萍,张佳睿",private
001286,陕西投资集团有限公司,private
001287,国务院国有资产监督管理委员会,state
001288,"吴友华,曾玉仙",private
001289,国务院国有资产监督管理委员会,state
001296,"熊鹰,熊杰",private
001298,"王玉成,范理南",private
001299,"晏立群,李全平",private
001300,朱希龙,private
001301,欧阳永跃,private
001306,"夏爱娟,夏挺,夏建敏",private
001308,"凌斌,王曦",private
001309,"田华,李虎",private
001311,曹达龙,private
001312,"王内利,王学林,王恩伟",private
001313,"郑石轩,徐雪梅",private
001314,"石庆,张治宇,钟景维",private
001316,"刘俊锋,张奇志,刘宇仑",private
001317,邱红阳,private
001318,胡霄云,private
001319,夏录荣,private
001322,"谢岳荣,霍秋洁,谢炜,谢安琪",private
001323,"王炳坤,林集永",private
001324,"周建新,周银妹,胡锦骊",private
001325,王文杰,private
001326,徐建勇,private
001328,重庆市国有资产监督管理委员会,state
001330,于冬,private
001331,"魏吉胜,魏红越,张伟",private
001332,曹洪海,private
001333,"孙杰风,孙培松",private
001335,"李治,李武",private
001336,"陈步东,吴意波",private
001337,四川省地质矿产勘查开发局,private
001338,广东省人民政府国有资产监督管理委员会,state
001339,"袁微微,郭旭辉",private
001356,"江桂兰,胡乾",private
001358,叶汀,private
001359,"潘渡江,潘协保,潘美芳,李鲸波,潘云芳,陈珊珊",private
001360,李顺山,private
001365,广州市人民政府国有资产监督管理委员会,state
001366,邹新华,private
001367,"王式跃,王雨潇,郭海燕",private
001368,"王亚南,王亚扬,王亚榆,王亚华",private
001369,乔玉华,private
001373,张伟,private
001376,张春龙,private
001378,"谢嘉辉,罗维满,张锦棉",private
001379,陈佩君,private
001380,金雷,private
001382,"陈家锦,陈志辉,陈伟杰,陈强",private
001386,黄建平,private
001387,顾维,private
001388,李全用,private
001389,"肖红星,刘锦婵",private
001390,谢玉成,private
001391,国务院国有资产监督管理委员会,state
001393,黄浩云,private
001395,郭西强,private
001396,"李佳川,朱军",private
001399,王智勇,private
001400,张理罡,private
001696,左宗申,private
001872,国务院国有资产监督管理委员会,state
001896,河南省发展和改革委员会,private
001914,国务院国有资产监督管理委员会,state
001965,国务院国有资产监督管理委员会,state
001979,国务院国有资产监督管理委员会,state
002001,"胡柏藩,胡柏剡",private
002003,"章卡鹏,张三云",private
002004,张松山,private
002005,王冬雷,private
002006,金良顺,private
002007,安康,private
002008,高云峰,private
002009,黄伟兴,private
002010,"徐冠巨,徐观宝,徐传化",private
002011,姚新义,private
002012,王白浪,private
002014,黄山市供销合作联社,private
002015,陈建忠,private
